title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"C'est un moment avec de l'adrénaline\" : derniers préparatifs dans les mairies pour le premier tour de l'élection présidentielle"	"A Meudon (Hauts-de-Seine), par exemple, c'est la course pour inscrire toutes les dernières procurations reçues à la dernière minute car les listes d'émargement sont déjà faites.A la veille du premier tour de l'élection présidentielle, c'est l'effervescence. A Bordeaux (Gironde), on s'affaire, samedi 22 avril, pour approvisionner les 136 bureaux de vote de la ville. \"Là, on prépare tous les bulletins de vote répartis par nombre d'électeurs et par bureau pour avoir tout le matériel pour voter\", a expliqué Guillaume Sengenes, responsable \"Vie citoyenne\", à Bordeaux. Urnes, isoloirs, panneaux d'affichage, c'est de ce centre que va partir tout le nécessaire. A Arras (Pas-de-Calais), les 33 bureaux de vote de la ville sont prêts. \"C'est un moment avec de l'adrénaline, commente Aurore Cauuet, directrice de l'administration générale d'Arras. Il faut que tout soit calé, prêt, pour demain matin.\" Les dernières procurations donnent du travail C'est la course, à Meudon (Hauts-de-Seine), pour inscrire toutes les dernières procurations reçues à la dernière minute car les listes d'émargement sont déjà faites. \"On est obligé d'inscrire tout à la main. Ca, c'est un travail qui prend une bonne partie de la journée, a indiqué Fabien Ponthieux, responsable état-civil à la mairie de Meudon. A Rennes (Ille-et-Vilaine ), on s'organise contre l'abstention. Un taxi, Mickael Lambert, se propose d'emmener gratuitement les personnes qui ne peuvent pas se déplacer. \"C'est totalement et entièrement gratuit. C'est un acte uniquement civique pour rendre service\", assure-t-il."	Elsa Pallot	France 2	4	22	2017
"\"Cabinet noir\" : le camp Fillon saisit la justice"	"Six des principaux soutiens de François Fillon demandent l'ouverture d'une enquête sur le cabinet noir de l'Élysée dans un courrier adressé au procureur de Paris.Une lettre au procureur de Paris signée par six responsables Les Républicains soutenant François Fillon. Ils s'appuient sur le contenu du livre Bienvenue place Beauvau pour dénoncer des infractions commises selon eux par le pouvoir socialiste. Ils en ont extrait 17 passages. Selon les auteurs du livre, par exemple, alors que le fils de Valérie Pécresse vient d'être interpellé avec quatre grammes de cannabis, l'information est très vite diffusée. \"Un des collaborateurs de Claude Bartolone est en train de faire le tour de ses contacts journalistes pour les mettre au courant\", est-il indiqué dans l'ouvrage. \"Un système de collusion\" Ils affirment également que François Hollande a fait écouter Nicolas Sarkozy. Pour Luc Chatel, ce sont deux exemples parmi d'autres : \"Les auteurs de ce livre décrivent un système de collusion entre des responsables policiers, des responsables de presse, des responsables politiques, ce qui est absolument ahurissant.\" Des accusations réfutées sèchement par le garde des Sceaux, il nie toute intervention et y voit au mieux \"de la pure spéculation, au pire, une volonté de manipulation de la réalité\"."	Elsa Pallot	France 2	3	27	2017
"\"Ce n'est ni une idéologue, ni une visionnaire\" : l'incroyable destin politique d'Angela Merkel"	POLITIQUE - Née en Allemagne de l'Est, Angela Merkel ne s'est tournée que par hasard vers la politique. C'est à 35 ans, avec la chute du mur de Berlin, qu'elle s'engage aux côtés du chancelier Helmut Kohl. Elle se destinait à une carrière de chimiste quantique.  Ce reportage est issu du journal télévisé de 20h du 24 septembre 2017 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 20h du 24/09/2017 des sujets sur l’actualité, des reportages en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	9	24	2017
"\"Cellule de crise\" : les dernières heures de Diana"	"20 ans après la mort de Lady Di, alors que l'enquete est bouclée depuis longtemps, certains s'interogent encore sur les détails de cette dernière nuit. \"Cellule de crise\" sera diffusé ce dimanche 27 août à 22h50 sur France 2, qui vous propose d'en regarder un extrait.Le Samu de Paris identifie l'hôpital qui accueillera la princesse et le garde du corps. La Pitié Salpêtrière, établissement de pointe de la capitale, est situé à 7 kilomètres du tunnel de l'Alma. Le préfet de police propose une évacuation par hélicoptère. Ce que refuse le Docteur Claude Fuilla, de la brigade des sapeurs pompiers de Paris : \"Je lui dis que non, parce que le temps de faire décoller l'hélicoptère, qu'on le pose, qu'on charge la victime dans l'hélicoptère, ça aurait fait perdre plus de temps (...).\" Les secours parviennent difficilement à stabiliser Diana Marcel Vinzerich met en place l'escorte qui accompagnera l'ambulance. Il fait fermer les quais de scène à la circulation : \"On bloque tout, de façon à ce qu'il n'y ait pas d'entrave au convoi (...)\". Les secours parviennent difficilement à stabiliser Diana. Ils donnent enfin le signal du départ aux policiers qui les escortent avec une consigne bien spécifique : \"Ils me demandent de rouler lentement de façon à ce qu'elle ne soit pas secouée\", témoigne Marcel Vinzerich. Sur les quais de Seine, l'ambulance qui transporte Diana avance lentement."	Elsa Pallot	France 2	8	27	2017
"\"Chacun sa vie\" : un film choral sur 13 destins croisés lors d'un procès d'assises"	"Demain, mercredi 15 mars, sort le dernier film, le 46e, de Claude Lelouch intitulé \"Chacun sa vie\". Un film chorale dans lequel le réalisateur réunit pléthore de stars dont Johnny Hallyday ou Jean Dujardin.L'ambiance est à la colonie de vacances ce jour-là à Beaune (Côte-d'or) avec la crème du cinéma français un peu indisciplinée réunie autour du maître Claude Lelouch. Le prétexte du film est un procès avec des jurés d'assises dont on va suivre le parcours le temps d'un festival de jazz. Des hommes et des femmes qui se déchirent avec des acteurs confirmés, mais aussi des petits nouveaux comme ce ténor du barreau, Éric Dupond-Moretti, qui joue un amoureux d'une prostituée qui n'a pas la langue dans sa poche. Un casting de rêve Treize histoires, le chiffre fétiche de Lelouch, pour treize destins croisés et des scènes d'anthologie où notre Johnny Hallyday fait l'acteur et joue à fond l'autodérision. Un casting de rêve réuni pendant un mois en juillet dernier dans la capitale des vins de Bourgogne à Beaune, où Lelouch a installé ses ateliers du cinéma. Tout a été tourné ici avec l'aide de treize apprentis cinéastes qui ont suivi la fabrication du film de A à Z. Claude Lelouch tenait à réserver l'avant-première de son film au public beaunois. Verdict : \"Plein de scènes m'ont beaucoup plues, on retrouve notre ville\", explique une spectatrice. L'optimisme, l'amour de la vie, des acteurs, des gens, c'est donc ça la marque de fabrique du cinéma de Lelouch."	Pierre-Yves Grenu	France 3	3	14	2017
"\"Clause Molière\" : le français obligatoire sur les chantiers fait polémique"	"Des présidents de région Les Républicains ont imposé l'usage du français sur les chantiers publics. Une manière d'interdire les travailleurs étrangers ?Obliger les entreprises en charge des chantiers publics à n'engager que des employés qui parlent français ? Une mesure mise en place par des présidents de région Les Républicains est critiquée de tous les côtés, à commencer par le Premier ministre. \"Derrière la clause Molière, c'est la clause Tartuffe. Ces clauses ne sont pas inspirées par l'amour de notre langue, mais par l'objectif de faire obstacle à la concurrence d'entreprises étrangères qui font appel à des travailleurs détachés\", a-t-il dit. Les syndicats sont contre, le FN en veut plus Prendre le prétexte de la langue pour interdire les travailleurs sur les chantiers publics ? Laurent Wauquiez ne s'en cache pas : il pratique la préférence nationale. De leur côté, les syndicats la critiquent presque d'une même voix. Pour Marine Le Pen, en revanche, c'est une mesure qui ne va pas assez loin."	Elsa Pallot	France 2	3	15	2017
"\"Coup d'État institutionnel\" : la gauche réplique"	"Accusée par François Fillon d'être derrière toute cette affaire, l'Élysée a répondu, suivie par certains élus et ministres.S'est-il senti visé par la contre-attaque de François Fillon ? François Hollande a en tout cas fait savoir ce mercredi 1er février ce qu'il pensait des accusations de \"coup d'État institutionnel\", lancées par François Fillon. \"Le seul pouvoir, c'est celui de la justice, qu'on doit laisser travailler, et les seules exigences sont celles de la transparence et de l'exemplarité\", a fait savoir l'entourage du président. \"Ça fait pitié\" De son côté, le porte-parole du gouvernement tient à mettre les points sur les i : \"C'est une manière de faire qui n'est pas acceptable. Chacun doit assumer ses responsabilités\", a lancé Stéphane Le Foll. À l'Assemblée nationale, ministres et députés de gauche jusque là discrets sur l'affaire Fillon se sont réveillés en entendant l'expression \"coup d'État\". \"Ça fait pitié\", a fustigé Malek Boutih. \"Ce qui est désolant, c'est que s'il y a des comportements qui ont dérapé, ça jette le discrédit sur l'ensemble des élus\", estime Ségolène Royal."	Elsa Pallot	France 2	2	1	2017
"\"C’est magnifique\" : l’automne dans toutes ses couleurs"	Des journées plus courtes, des températures qui déclinent… et un feu d’artifice de couleurs. L’automne s’est bel et bien installé dans l’Hexagone. Et comme chacun sait, cette saison offre un spectacle exceptionnel dans nos régions. Illustration entre Touraine et Sologne.  Ce reportage est issu du journal télévisé de 20h du 27 octobre 2017 présenté par Audrey Crespo-Mara sur TF1. Vous retrouverez au programme du JT de 20h du 27/10/2017 des sujets sur l’actualité, des reportages en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	10	27	2017
"\"Diabétiquement vôtre\" : le quotidien d'un diabétique de type 1"	"Bertrand Burgalat, musicien, compositeur et producteur, est l'invité du journal de 13H ce vendredi 28 avril. Atteint de diabète, il veut prendre la parole pour les 3,5 millions de personnes concernées en France.Bertrand Burgalat, musicien, compositeur et producteur, est l'invité du journal de 13H ce vendredi 28 avril. Atteint de diabète, il vient présenter son livre intitulé \"Diabétiquement vôtre\" pour raconter sa vie avec le diabète depuis l'âge de 11 ans. \"Je n'avais pas envie d'écrire là-dessus, car quand on est diabétique insulino-dépendant, c'est une maladie qui est très envahissante,\" confie l'artiste. Mais après 40 ans passés avec le diabète à entendre un certain nombre d'inexactitudes, Bertrand Burgalat espérait que quelqu'un le fasse. 4 millions de morts chaque année dans le monde Étant une maladie très difficile à appréhender, même pour les proches, l'artiste a souhaité aller au-delà du témoignage personnel en faisant également une enquête pour faire voir ce que cela dit de notre société. Il dénonce le prix de l'insuline qui fait que \"dans des pays pauvres, des personnes diabétiques de type 1 meurent\". Le diabète cause 4 millions de décès chaque année dans le monde. Bertrand Burgalat raconte également le quotidien d'un diabétique de type 1 qui vit avec une épée de Damoclès au-dessus de la tête. À cause d'un pancréas qui ne régule plus le taux de sucre dans le sang, Bertrand Burgalat confie comment il doit se piquer six ou sept fois par jour."	Thomas Horeau	France 2	4	28	2017
"\"Dunkerque\" : un film événement de Christopher Nolan"	"Christopher Nolan a signé \"Dunkerque\", tourné dans les Hauts-de-France. Cette fois, c'est une plongée en 1940, au cœur de la guerre.Toute une armée prise au piège sur une plage, qui tente de s’échapper sous le feu de l’ennemi, c’est l’incroyable histoire de l’enclave de Dunkerque. L’évacuation de leurs troupes par les Anglais est devenue un symbole que le réalisateur de Batman voulait aborder depuis longtemps. Car personne fin mai 1940 n’aurait parié une livre sterling sur la réussite de cette opération. Une terrifiante course contre-la-montre Il y a la réalité historique dont témoignent les archives britanniques, il y a la campagne éclair des armées d’Hitler prenant en tenaille les troupes françaises et anglaises qui replient sur la côte. Mais le point de vue de Christopher Nolan est de plonger le spectateur dans l’action, dans les airs, sur terre et sur mer pour lui faire vivre cette terrifiante course contre-la-montre. Ce film remet en lumière une page oubliée de notre histoire."	Elsa Pallot	France 2	7	15	2017
"\"Flat tax\" : mise en place d'une taxe unique"	"Sur le plateau du 19/20 de France 3, David Boéri nous détaille les changements que va apporter la \"flat tax\" votée par les députés ce jeudi 19 octobre.Ce jeudi 19 octobre, les députés ont voté une mesure phare du projet de loi de finance : une \"flat tax\". Que va-t-elle changer ? \"Jusqu'à présent, les revenus du capital étaient doublement taxés, à la fois par l'impôt sur le revenu et par des prélèvements sociaux, notamment la CSG. Tout compris, l'imposition pouvait atteindre jusqu'à 60%. Avec cette réforme, il n'y aura plus qu'un seul prélèvement forfaitaire unique de 30% pour les plus-values comme pour les dividendes\", explique David Boéri. Que des gagnants et un pari pour l'État \"Pour l'assurance vie, ce taux unique ne s'appliquera qu'aux contrats de plus de 150 000 euros, pour les plans d'épargne logement, tous les nouveaux contrats signés après le 1er janvier 2018. Le livret A et les PEA ne sont pas concernés, ils resteront comme aujourd'hui, exonérés d'impôt. Il n'y a que des gagnants, parce que si vous êtes aujourd'hui un contribuable avec un niveau d'imposition inférieur à 30%, vous pourrez choisir de rester dans le système actuel. Vous ne paierez donc pas plus. Le seul vrai perdant, c'est l'État. Le gouvernement estime que cela représente près de 1,3 milliard d'euros en moins dans les caisses dès 2018\", observe le journaliste."	Philippe Denis	France 3	10	20	2017
"\"Front républicain\" : un rassemblement contre Marine Le Pen initié par BHL"	"Un forum républicain contre l'abstention se tient ce vendredi 5 mai à la Maison de la Chimie, à Paris. Sur place, Dorothée Lachaud commente l'évènement.Un rassemblement contre l'abstention mettant en avant le \"front républicain\" se tient ce vendredi 5 mai à la Maison de la Chimie, à Paris. \"C'est l'image du jour, deux anciens Premiers ministres, de gauche, de droite, Manuel Valls, Jean-Pierre Raffarin, mais aussi de nombreuses personnalités politiques, des intellectuels, des écrivains, se rassemblent en ce moment même\", décrit Dorothée Lachaud. \"Faire barrage à Marine Le Pen\" Le but du rassemblement est d'incarner le \"front républicain\", tardif a s'exprimer dans cette campagne selon certains. \"C'est à Bernard-Henri Lévy que l'on doit ce rassemblement. Un rassemblement où tous partagent le même but : faire barrage à Marine Le Pen au second tour de l'élection. Ce rassemblement prendra fin ce soir à minuit pile. L'heure exacte de la fin de cette campagne\", explique la journaliste."	Philippe Denis	France 3	5	5	2017
"\"Futur simple\" : la galère des parapluies mouillés, c'est du passé"	"Finie la galère du parapluie mouillé et encombrant dans le sac à mains. Deux Français ont trouvé la solution : une housse sèche-parapluie.Avec ce temps, un parapluie est indispensable, ou presque. Petit, léger, pliable, il existe depuis des siècles. Rien de nouveau sous la pluie, sauf lorsque l'averse s'arrête ou que l'on veut se mettre à l'abri. Il est mouillé, devient salissant, encombrant. À ce moment, là, qu'en faire, et surtout comment être sûr qu'on ne va pas l'oublier en repartant ? Ces questions ont taraudé deux jeunes étudiants en français en mathématiques partis à Londres (Royaume-Uni) pour terminer leurs études. Ils ont fondé leur entreprise Après avoir égaré plusieurs parapluies dans des pubs anglais, ils ont eu l'idée de cette housse séchante qui règle tous les problèmes. Comme souvent, dans \"Futur simple\", l'idée semble toute bête mais il y a de la technologie. Antoine Gros et Aurélien Rinaldi, fondateurs de Beau nuage, ont retraversé la Manche une fois leur diplôme en poche pour fonder leur entreprise."	Philippe Denis	France 3	2	20	2017
"\"Gauguin\", un film sur les traces du célèbre peintre français à Tahiti"	L'essentiel CINÉMA - Guère apprécié de son vivant, cet homme est pourtant probablement l’un des plus grands peintres français du 19e siècle. On parle évidemment de Paul Gauguin, qui avait aussi tenu un carnet de voyage lors de son long séjour en Polynésie. Et dont les écrits ont inspiré un film actuellement sorti en salle.  Ce reportage est issu du journal télévisé de 20h du 21 septembre 2017 présenté par Gilles Bouleau sur TF1. Vous retrouverez au programme du JT de 20h du 21/09/2017 des sujets sur l’actualité, des reportages en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	9	20	2017
"\"Grandes Voiles\" du Havre : les plus beaux vieux gréements du monde présentés au public"	"C'est le seul rassemblement de vieux gréements cette année en France : les \"Grandes Voiles\" du Havre (Seine-Maritime) ont débuté jeudi 31 août. Jusqu'à dimanche, une trentaine des plus beaux bateaux du monde en provenance de douze pays seront présentés au public.Ils ont traversé les mers et les océans pour arriver au Havre (Seine-Maritime), alors ce n'est pas un temps capricieux qui va empêcher les visiteurs de les admirer. Et pour voir ces géants des mers, certains ont fait quelques kilomètres. Tout au long de ces quatre jours de fête, les 30 grands voiliers présents vont attirer plusieurs centaines de milliers de visiteurs. \"Pirates des caraïbes\" \"C'est un voyage immobile, c'est majestueux, ça fait rêver, on compte les mâts, on compte les voiles, on rêve, on s'imagine dans le film Pirates des Caraïbes\", s'extasie une visiteuse. Il y a aussi dans le public des spécialistes qui regardent briques, frégates ou goélettes d'un oeil d'expert : \"je fais de l'optimiste, donc je sais ce que c'est que d'être sur la mer quand on avance vite\", explique une petite fille. Alors marin confirmé ou simple visiteur, vous avez jusqu'à dimanche matin pour rêver devant ces superbes voiliers."	Philippe Denis	France 3	8	31	2017
"\"Il faut que l'on reste déterminés\" : Marine Le Pen en campagne à Nice, sur les lieux de l'attentat"	"En déplacement à Nice (Alpes-Maritimes), Marine Le Pen a commencé par rendre hommage aux victimes de l'attentat du 14-juillet.Le lieu de rendez-vous n'a pas été choisi au hasard : promenade des Anglais, sur les lieux de l'attentat du-14 juillet. C'est ici que Marine Le Pen, a rendu, lundi 13 février, un hommage aux victimes, sur un ton très politique. La présidente du Front national a ciblé l'islamisme radical et l'action du gouvernement. \"On n’a pas tourné la page, le risque n'est pas un risque atténué aujourd'hui\", a expliqué la présidente frontiste. Sur ces terres de droite, la candidate à la présidentielle est venue parler d'insécurité. Elle est également revenue sur les violences du week-end dans les banlieues. Un discours de fermeté \"Ce sentiment d'impunité, il a des conséquences et c'est ce qu'on vit depuis déjà un certain nombre de jours dans les banlieues et qui pourrait d'ailleurs déraper\", a-t-elle estimé. Ce discours de fermeté a séduit les Niçois croisés sur le marché. Dans l'après-midi, Marine Le Pen devait se rendre à la frontière italienne. L'occasion pour elle de parler d'immigration et de prôner la sortie de la France de l'espace Schengen, deux des fondamentaux du Front national."	Thomas Horeau	France 2	2	13	2017
